source_mizo,reference_english,baseline_prediction
Kum 20 chuang kal taah kha chuan infiamna lamah pawh Bangladesh aiawha khel pha Zofa an awm á¹­hin.,"""More than 20 years ago, there used to be Zofas who played for Bangladesh even in sports.""","""Over 20 years ago, there used to be Zofa, who played for Bangladesh in sports as well."""
Lalnuntluanga hi kohhran leh khawtlanga mi inhmang tak a ni.,Lalnuntluanga is a very active person in the church and community.,Lalnuntluanga is a very active person in the church and society.
Stephen chuan Alicia chu a chhan lo.,Stephen left his business in Cairo and move in with Alicia.,Stephen didn't answer Alicia.
Ruata chu midang ang maiin a inlan a.,Ruata was pretending to be another person.,Ruata appeared like someone else.
Kunga-an tih tur list a siam.,Kunga made a to-do list.,Kunga has made a list of things to do.
Fela tana thawh ka duh.,I want to work for Fela.,I want to work for Fela.
Ruati chu a rilru a buai hle.,Ruati is mentally disturbed.,Ruati was in a state of shock.
Siama mutna pindan chu a te hle mai.,Siama's bedroom was very small.,Siama's bedroom was very small.
Anni hian NLUP-ah dinhmun pawimawh tak an luah a ni.,They occupy a very important position in NLUP.,They occupy an important position in NLUP.
A pa hming chawiin Robert tia vuah a ni.,He was named Robert after his father.,He was named Robert after his father.
Germany ah eng nge tih i tum?,What do you want to do in Germany?,What are you planning to do in Germany?
AMC chu an phalna pek te hi enfiah.,AMC is reviewing issued permits.,inspected the AMC's permissions.
Sodom leh Gomora khua Pathianin a hrem chhan nia sawi chu mipat hmeichhiat hman khawloh lutuk leh sum ngainat luat avanga hrem an ni tih a ni a.,The stated reason for God punishing the cities of Sodom and Gomorrah is that they were punished due to excessive sexual immorality and excessive love of money.,The reason God punished Sodom and Gomorrah is said to be due to excessive sexual immorality and excessive love of money.
Toronto atanga darkar khat vel ah Sami a khawsa.,Sami lived about an hour north of Toronto.,Sami lived about an hour from Toronto.
Kapa tuman an ngaihsak lo.,Nobody pays much attention to Kapa.,Nobody cares about Kapa.
"""Lukaku hian theihna sang tak a nei, mahse a khelh fuh leh fuh loh kar a hla thin hle.""","""Lukaku has great potential, but there is often a big gap between his good and bad performances.""","""Lukaku has high potential, but he often sings about whether he plays well or not."""
"""AMC tlo zawk, AMC chak zawk leh AMC tha zawk mipuiin an beisei.""","""The people expect a more durable, stronger, and better AMC.""","""The people expect more durable AMC, stronger AMC, and better AMC."""
"""RSS thurin leh innghahna, 'Hindutva' tho chu BJS thurin laimu a ni.""","""The RSS doctrine and foundation, 'Hindutva', is also the core doctrine of BJS.""","""The RSS's doctrine and reliance, 'Hindutva', are the core principles of the BJS."""
"""Biaka chuan French in eng emaw a sawi a, ka hrethiam lo.""",Biaka said something in French that I didn't understand.,Biaka said something in French and I don't understand it.
Dinga chu a Ã¢ reng a.,Dinga was constantly crazy.,Dinga was always crazy.
Rami kan ring tih Thara-an a hria.,Thara knows we trust Rami.,Thara knew we believed Rami.
Chu pawh chu Bangkok khuaa a gold awrhna hian a pha lo!,Even that is not matched by the gold he wears in Bangkok!,That too is not denied by the gold mine in Bangkok!
Alvin chuan a thil hriat chu a awih thei lo.,Alvin couldn't believe what he heard.,Alvin couldn't believe what he heard.
A tawpah Thanga leh Puii te chu inthen an tum.,Thanga and Puii finally decided to get divorced.,Thanga and Puii eventually decided to get divorced.
Chhani chuan kan tih tir aiin tam a ti.,Chhani has done more than we asked her to do.,Chhani did more than what we asked her to do.
June 8-a Saudi Arabia an khelh hunah insiamtá¹­hat ngei an tum ang.,They will definitely aim to bounce back when they play Saudi Arabia on June 8.,They will definitely try to improve when they play Saudi Arabia on June 8.
Khawhai aiin an buk a rit mah zawk.,They weigh even more than Khawhai.,They weigh even heavier than Khawhai.
Fela te inah kir leh ka duh.,I want to go back to Fela's.,I want to go back to Fela's house.
Kunga-an thil thleng mÃªk a hria in i ring em?,Do you think Kunga knows what's happening?,Do you think Kunga knows what's going on?
Liani chuan Mawia-an a tih pui dawn lo tih a sawi.,Liani said Mawia wasn't going to do that with her.,Liani says Mawia won't help her do that.
A hnar avangin Chhana a inchhir lo.,Chhana didn't regret saying no.,Chhana isn't sorry for his nose.
Vana leh Pari ten anmahni a an tih theih chuan pui turin an sawm lo ang che.,Vana and Pari wouldn't have asked you for help if they could've done that by themselves.,Vana and Pari wouldn't ask you to help them if they could do that by themselves.
Bena chuan Duati hming dik tak a sawi lo.,Bena didn't say Duati's real name.,Bena didn't mention Duati's real name.
"""Kum 39 mi Federer hian Cameron Norrie lakah hian 6-4, 6-4, 5-7, 6-4 in hnehna a chang.""","""39-year-old Federer defeated Cameron Norrie 6-4, 6-4, 5-7, 6-4.""","""39-year-old Federer won against Cameron Norrie 6-4, 6-4, 5-7, 6-4."""
Odisha tan K. Lalá¹­hathanga leh Isak Vanlalruatfela ten inkhel bul an á¹­an.,"""For Odisha, K. Lalá¹­hathanga and Isak Vanlalruatfela started the match.""",K. Lalá1­hathanga and Isak Vanlalruatfela started the match for Odisha.
Nimin khan Tokyo aá¹­angin a rawn kal a.,He came from Tokyo yesterday.,He came from Tokyo yesterday.
Bena chuan thil thleng chu a hre mai thei.,Bena may know what happened.,Bena might know what happened.
Sanga chungchang i hriat zawng zawng min hrilh la a tha ang.,I suggest you tell us everything you know about Sanga.,You should probably tell me everything you know about Sanga.
Kunga-an Mary-in John-an kha kha a tih a ngaih tawh loh maitheih a rin thu a sawi.,Kunga said Mary thought John might not need to do that anymore.,Kunga said Mary thought John might not need to do that anymore.
King George hnen ah message dang an thawn.,They sent another message to King George.,They sent another message to King George.
Ruati thusawi engmah ring suh.,Don't believe anything Ruati says.,Don't believe anything Ruati says.
Zanriah ei pahin Tom chuan TV a en fo.,Tom often watches TV while eating dinner.,Tom often watches TV while he's eating dinner.
Dinga-an a ti lo chu i lawm lo em ni?,Aren't you glad that Dinga didn't do that?,Aren't you glad Dinga didn't do that?
Chung kawng pengte chu 'Pipute Lamlian' tiin an lo sawi á¹­hin a ni.,That stretch of road is often called Pipute Lamlian.,Those junctions are often referred to as 'Pipute Lamlian'.
Boston hi ka duh lo.,I don't like Boston.,I don't like Boston.
Kum 2005-06 hnuah MLA fund hi á¹­um 12 tihsan a ni tawh.,"""Since 2005-06, the MLA fund has been increased 12 times.""","""Since 2005-06, MLA funds have been increased 12 times."""
Mizo hla hmasa lar zualte leh a hrilh fiahna bakah tunlai hla nena khaikhinna lehkhabu chu C. Chhuanvawraâ€™n mitin zir theih turin a rawn chhawpchhuak ta.,"""C. Chhuanvawra has brought out a book containing famous early Mizo songs, their explanations, and comparisons with modern songs for everyone to study.""","""Besides explaining the famous Mizo early songs and explaining them, he has brought out a book comparing them to modern songs to C. Chhuanvawra's."""
Tunah erawh NTU 1000 a pel dawrh dawrh.,"""Now, however, it has shot up past 1000 NTU.""","""Now, however, he has traversed the NTU 1000."""
"""Ka awmpui mai ang, tih pahin Rhonda-i chuan á¹­hut chhuah a tum a.""","""I'll just stay with him, said Rhonda as she attempted to sit up.""","""I'll just stay with him, said Rhonda, trying to sit out."""
Kunga-an min hre thei em?,Can Kunga hear me?,Can Kunga hear me?
Dama-an khatiang kha ti tawh lo se ka ti.,I'd suggest that Dama not do that anymore.,I hope Dama doesn't do that anymore.
Liani fawh pawh Mawia an a tum lo.,Mawia didn't even attempt to kiss Liani.,Mawia didn't even try to kiss Liani.
Stephen chuan ruang te chu a paih bo vang vang.,Stephen disposed of the bodies once and for all.,Stephen threw the bodies away because of it.
Tunah chuan Veni hi a harh tawh ngei a rinawm.,Veni is likely going to be awake now.,Veni is probably awake now.
"""Chhuana hnenah lawmthu ka sawi lo a, thilpek min pek avangin.""",I did not thank Chhuana for the gift.,I didn't thank Chhuana for giving me a present.
Saidailova hian a hun tam zawk chu Reiek-ah a hmang.,Saidailova spent most of his time in Reiek.,Saidailova spent most of his time in Reiek.
"""Hripui vei thi mi pakhat - Lakhi Dhan Chakma , Silsury, Mamit district a awm.""","""There is one person who died of the infection - Lakhi Dhan Chakma, Silsury, Mamit district.""","""There is a person who died of the virus - Lakhi Dhan Chakma, Silsury, Mamit district."""
Ruata hnenah tih dan ka hrelo tih ka hrilh a ngai.,I should probably tell Ruata that I don't know how to do that.,I should tell Ruata I don't know how to do that.
Rina leh Siami te chu John pe tu te an ni.,Rina and Siami are the ones who gave that to John.,Rina and Siami are the ones who gave it to John.
Mizo á¹­awng leh Sap á¹­awng sehpawlh nuaih ai chuan Mizopa tan chuan Mizo á¹­awng hlang dik tak hmang mai á¹­hin se.,"""Instead of mixing Mizo and English haphazardly, it would be better for a Mizo man to just use pure Mizo language.""",Let the Mizo language use the correct Mizo language for the Mizo language rather than the English word for halftime.
"""Kan nau Damlo, Zonuni erawh a taksa chak lo a chhuak leh tlat mai.""","""Our sick younger sister, Zonuni, however, had a relapse of weakness.""","""Our sick brother, Zonuni, on the other hand, went out of her weak body."""
Dinga chu a rilá¹­am mai mai a ni.,Dinga is just hungry.,Dinga was just hungry.
Prada kutchhuak chu a ngainain a lei fo tih a sawi.,He said that he likes Prada products and buys them often.,He said that he often buys Prada's products.
"""Pu Lalnghinglova Hmar, MFA Honorary Secretary chuan thu a sawi bawk.""","""Pu Lalnghinglova Hmar, MFA Honorary Secretary, also spoke.""","""Pu Lalnghinglova Hmar, MFA Honorary Secretary, also gave a speech."""
Chawhnubdar 1:00-ah Zotlang leh Chanmari an inkhel leh ang.,Zotlang and Chanmari will play again at 1:00 PM.,Zotlang and Chanmari will play again at 1:00 PM.
Hriatkima nuih chu mittui tlain a thlak ta a.,Hriatkima's laughter was replaced with tears.,Hriatkima's smile was turned into tears.
David a huh vek.,David was all wet.,David was covered in bruises.
He hmun hmun hi Serchhip VC II hnenah a hman phalna an dil.,They asked Serchhip VC II for permission to use this place.,They requested permission to use this site to Serchhip VC II.
"""Fela Boston-a a lo kal apiangin, kan inah a thleng á¹­hin.""","""Whenever Fela comes to Boston, he stays at our place.""","""Whenever Fela comes to Boston, he stays at our house."""
Muana chuan Thari angin zai a thiam lo tih a sawi.,Muana said he can't sing as well as Thari.,Muana says he doesn't sing as well as Thari does.
"""Lalsangliana leh Ramengmawiate chuan scooty dawngin, Rs. 1,14,318 man niin internet lamah chuan tarlan a ni.""","""Lalsangliana and Ramengmawia received a scooty, and it is reported on the internet to be worth Rs. 1,14,318.""","""Lalsangliana and Ramengmawia received a scooty, worth Rs. 1,14,318, and it is reported on the internet."""
Dika-an Rini-in John-an vawiinah a tih a ngai maithei tih a hria a ti.,Dika said Rini knew John might need to do that today.,Dika said Rini knew John might need to do that today.
Huai takin Spain an hmachhawn ang.,They will face Spain bravely.,They will face Spain bravely.
David-an fiamthu duh dan mak tak a nei.,David has a crazy sense of humor.,David had a strange sense of humor.
"""Zaipawl Tuidu Bial , Burburia Bial leh Mizoram Synod Choir ten hla mawi tak an sa a.""","""Tuidu Bial Choir, Burburia Bial Choir, and the Mizoram Synod Choir sang beautiful songs.""","""The choir Tuidu Bial, the Burburia Bial, and the Mizoram Synod Choir sang beautiful songs."""
Boston-ah hun engtia rei nge i hman?,How long did you spend in Boston?,How long did you spend in Boston?
Hminga hetah a awm rih thei.,Hminga can stay here for now.,Hminga can stay here for now.
Kapa-an a tum zawng zawng a ti thei lo tih a sawi.,Kapa said that he wasn't able to do everything he'd planned on doing.,Kapa said that he couldn't do everything he'd planned to do.
David chu na takin a damlo.,David became violently ill.,David was seriously ill.
Puia leh Siami'n lawng an nei em?,Do Puia and Siami have a boat?,Do Puia and Siami have a boat?
CMI Finland te pawhin palai hna an thawk mek bawk a.,CMI Finland are also currently working as mediators.,CMI Finland is also currently working as a mediator.
Dama-an Mary a rui a rin thu a sawi.,Dama told me he thought Mary was drunk.,Dama said that he thought that Mary would be drunk.
Duhkima hi mipa kum 26 mi a ni a.,Duhkima is a 26 year old male.,Duhkima is a 26-year-old boy.
Hminga chuan nuam a ti lo hle.,Hminga felt terribly out of place.,Hminga doesn't like it very much.
Gunners defender thar Sokratis Papastathopoulos chuan inkhel bul a á¹­an.,New Gunners defender Sokratis Papastathopoulos started the match.,Gunners' new defender Sokratis Papastathopoulos started the match.
